Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent
gol bola a venda em sc,90,18,"0,05","0,14",41,Commercial
gol bola à venda,90,22,"0,03","0,14",72,Transactional
gol g3 a venda em sp,90,21,"0,07","0,28",54,Commercial
gol g4 à venda,90,18,"0,03","0,26",66,Transactional
gol gti a venda no rs,90,12,"0,05","0,1",48,Commercial
gol gti quadrado à venda,90,19,"0,02","0,14",66,Transactional
gol gti venda,90,14,"0,02","0,22",65,Commercial
gol gts à venda,90,22,"0,02","0,18",77,Transactional
gol quadrado a venda em goiania,90,17,0,"0,02",49,Transactional
gol venda maringa,90,20,"0,03","0,18",61,Commercial
gol à venda em goiânia,90,16,"0,02","0,12",75,Transactional
golden cross venda digital,90,13,0,0,48,Commercial
golden vendas,90,21,"0,07","0,33",26100000,Commercial
golf a venda curitiba,90,15,"0,03","0,32",67,Commercial
golf a venda em caxias do sul,90,20,"0,03","0,05",55,Commercial
golf a venda no es,90,17,"0,02","0,11",72,Commercial
golf a venda rs,90,16,"0,02","0,06",64,Commercial
golf gti 2019 a venda,90,22,"0,03","0,15",61,Commercial
golf gti mk4 a venda,90,23,"0,05","0,17",62,Commercial
golf mk3 a venda,90,14,"0,03","0,11",59,Transactional
golf sportline a venda em curitiba,90,14,"0,03","0,36",45,Commercial
gontijo onibus a venda,90,28,"0,03","0,2",51,Commercial
gordine a venda,90,21,"0,02","0,1",97,Commercial
gota milagrosa vende em farmácia,90,21,"0,07","0,99",58,Commercial
gow ragnarok pré venda,90,33,0,0,9870,"Informational, Transactional"
grama esmeralda venda,90,36,"0,54",1,75,Transactional
gramado casas a venda,90,20,"0,08","0,41",4250000,Commercial
grand siena a venda em curitiba,90,16,"0,04","0,47",77,Commercial
graneleiro a venda,90,9,"0,04","0,23",51,Commercial
grupo compra e venda unai mg,90,23,0,"0,01",69,Transactional
grupo compra e venda vilhena,90,16,0,0,374000,Transactional
grupo de compras e vendas whatsapp,90,11,"0,21","0,16",70200000,Commercial
grupo de venda de carros,90,11,"0,26","0,25",26400000,Commercial
grupo de vendas de motos montes claros,90,29,0,0,93,Commercial
grupo de vendas de roupas whatsapp,90,3,"0,49","0,19",20100000,"Informational, Commercial"
grupo de vendas lem,90,16,0,0,10000000,Commercial
grupo de vendas whatsapp df,90,7,"0,11","0,04",27800000,Commercial
grupo de vendas whatsapp montes claros,90,6,"1,75","0,1",1140000,Commercial
grupo de vendas whatsapp rio de janeiro,90,1,"0,14","0,28",74400000,Commercial
grupo troca e venda ff,90,4,0,"0,08",44,Commercial
grupo trocas e vendas ff,90,3,0,"0,08",46,Commercial
grupo vendas,90,16,"0,29","0,25",78500000,Commercial
grupo whatsapp compra e venda de instrumentos musicais,90,9,0,"0,09",90,Transactional
grupos de compras e vendas no whatsapp,90,19,"0,63","0,22",137000000,Commercial
grupos de vendas whatsapp 2022,90,16,0,"0,07",130000000,Commercial
grupos de vendas whatsapp são paulo,90,10,"0,55","0,29",25800000,Commercial
grupos de whatsapp para vendas,90,19,"0,25","0,46",8450000,Commercial
guanabara venda de passagens,90,34,"0,1","0,41",85,"Informational, Transactional"
guarda roupa casal mais vendido,90,21,"0,11",1,62,Commercial
guarda roupa mais vendido,90,24,"0,07",1,70,Commercial
guincho para trator usado à venda,90,15,"0,05","0,45",65,"Informational, Transactional"
guincho plataforma a venda olx,90,28,"0,08","0,18",36,"Navigational, Transactional"
guincho plataforma à venda,90,19,"0,14","0,8",82,Transactional
guincho plataforma à venda em sp,90,9,"0,12","0,7",75,Transactional
guincho à venda,90,10,"0,1","0,97",80,Transactional
gurgel a venda no rs,90,17,"0,06","0,13",66,Commercial
gurgel à venda,90,20,"0,01","0,19",77,Transactional
hamburgueria venda nova,90,22,"0,21","0,07",278000,Commercial
hapvida plantão de vendas,90,8,"0,38","0,05",71,Commercial
hapvida vendas telefone,90,25,"0,16","0,09",92,"Navigational, Transactional"
harley davidson venda,90,18,"0,02","0,31",91,Commercial
harley davidson à venda,90,18,"0,02","0,31",93,Transactional
harley-davidson a venda,90,17,"0,02","0,31",62,Commercial
hayabusa venda,90,20,"0,02","0,18",98,Commercial
hb20 a venda em maringa,90,16,"0,04","0,24",69,Commercial
hb20 automatico a venda,90,21,"0,09","0,38",80,Commercial
hb20 à venda,90,21,"0,05","0,35",87,Transactional
hb20s a venda em bh,90,18,"0,04","0,32",88,Commercial
helicoptero a venda no brasil,90,3,"0,03","0,39",3300000,Commercial
helicoptero venda,90,5,"0,03","0,35",807000,Commercial
helicopteros a venda no brasil,90,1,"0,03","0,39",6060000,Commercial
helicóptero a venda no brasil preço,90,3,"0,02","0,23",1210000,Transactional
helicóptero mosquito à venda,90,11,"0,15","0,11",77,Transactional
helicóptero para vender,90,4,"0,03","0,27",6360000,Commercial
hidratante mais vendido da eudora,90,24,"0,11",1,46,Commercial
hidratante nativa spa mais vendido,90,25,"0,14","0,96",42,Commercial
hilux 2010 à venda,90,21,"0,02","0,25",61,Transactional
hilux 2011 à venda,90,21,"0,01","0,22",62,Transactional
hilux 2018 a venda,90,16,"0,05","0,32",78,Commercial
hilux a venda em bh olx,90,28,"0,07","0,07",46,"Navigational, Transactional"
hilux a venda em bh particular,90,16,"0,04","0,34",45,Commercial
hilux a venda em goiânia,90,16,"0,04","0,15",51,Commercial
hilux a venda no tocantins,90,19,"0,02","0,09",58,Commercial
hilux cabine simples a venda no paraná,90,16,"0,04","0,45",52,Commercial
hilux cs a venda,90,14,"0,03","0,26",55,Commercial
hilux para vender,90,19,"0,04","0,3",52,Commercial
hilux sw4 a venda,90,14,"0,04","0,31",77,Commercial
honda cbx 1050 a venda,90,21,"0,03","0,1",61,Commercial
honda cbx 1050 à venda olx,90,30,"0,02","0,09",24,Transactional
honda city à venda,90,24,"0,03","0,32",65,Transactional
honda civic a venda no parana,90,16,"0,02","0,12",69,Commercial
honda civic si a venda,90,19,"0,03","0,17",50,Commercial
honda civic venda,90,23,"0,05","0,38",48,Commercial
honda fit a venda em campinas,90,16,"0,04","0,3",54,Commercial
honda fit venda,90,19,"0,08","0,46",61,Commercial
honda pós vendas,90,39,0,0,4740000,Commercial
honda s2000 a venda brasil,90,23,"0,1","0,14",48,"Informational, Transactional"
honda vti a venda,90,17,0,"0,06",64,Commercial
horario do onibus 4415 venda nova,90,2,0,0,22,Commercial
hornet venda,90,13,"0,02","0,22",68,Commercial
hospital do dente venda nova,90,7,"0,25","0,26",86,Commercial
hospital evangélico venda nova telefone,90,12,0,"0,02",92,Commercial
hospital evangélico venda nova trabalhe conosco,90,8,"0,01","0,15",63,"Informational, Commercial"
hospital venda nova,90,16,"0,13","0,04",24200000,Commercial
hoteis a venda,90,15,"0,04","0,51",7630000,Commercial
hotel a venda em sp,90,13,"0,08","0,48",20000000,Commercial
hotel venda nova imigrante,90,16,"0,13","0,08",97,Transactional
hotel venturim venda nova,90,29,"0,11","0,09",70,"Informational, Transactional"
hoverboard usado para vender,90,24,"0,02",1,49,Commercial
hr a venda em sc,90,16,"0,04","0,41",69,Commercial
hr a venda particular,90,21,"0,05","0,44",42,Commercial
hr guincho a venda olx,90,30,"0,06","0,19",50,"Navigational, Transactional"
hrv a venda em joinville,90,17,"0,02","0,51",46,Commercial
hrv a venda rj,90,19,"0,05","0,35",52,Commercial
hulk vendido,90,28,0,0,88,"Informational, Commercial"
i30 a venda em porto alegre,90,16,"0,04","0,38",57,Commercial
i30 a venda no rs,90,16,"0,03","0,27",49,Commercial
i30 à venda,90,19,"0,03","0,36",74,"Informational, Transactional"
iate de luxo a venda,90,12,"0,05","0,41",1350000,Commercial
iate venda,90,9,"0,05","0,52",2420000,Transactional
ibagy vendas,90,13,"0,24","0,44",64,"Navigational, Transactional"
icone de vendas,90,25,0,0,84,"Informational, Commercial"
ilhas a venda no mundo,90,22,0,"0,01",6520000,Commercial
ima vendas,90,14,"0,19","0,96",4840000,"Informational, Commercial"
imagem de vende-se geladinho,90,24,0,"0,73",91,"Informational, Transactional"
imagem motivacional vendas,90,26,0,"0,03",274000,Commercial
imagem vende se,90,25,0,"0,54",70500000,"Informational, Commercial"
imagens motivação vendas,90,31,0,"0,03",2150000,"Informational, Commercial"
imobiliaria maceio venda,90,19,"0,1","0,6",7220000,Commercial
imoveis a venda bh,90,32,"0,24","0,69",10800000,Commercial
imoveis a venda bocaiuva,90,9,0,"0,02",631000,Commercial
imoveis a venda caixa lista completa,90,37,"0,42","0,03",12700000,"Navigational, Transactional"
imoveis a venda em araruama,90,21,"0,22","0,6",97,Commercial
imoveis a venda em arraial do cabo,90,22,"0,03","0,54",93,Commercial
imoveis a venda em barra velha sc,90,16,"0,05","0,63",696000,Commercial
imoveis a venda em bragança paulista,90,17,"0,08","0,64",384000,Commercial
imoveis a venda em buzios,90,6,"0,09","0,61",507000,Commercial
imoveis a venda em campinas,90,25,"0,15","0,69",17600000,Commercial
imoveis a venda em campo grande rj,90,22,"0,22","0,59",7270000,Commercial
imoveis a venda em canela rs,90,15,"0,09","0,63",3520000,Commercial
imoveis a venda em cidreira rs,90,14,"0,03","0,53",60,Commercial
imoveis a venda em colombo,90,16,"0,05","0,64",1690000,Commercial
imoveis a venda em contagem,90,21,"0,14","0,69",2910000,Commercial
imoveis a venda em copacabana rj,90,23,"0,3","0,7",3510000,Commercial
imoveis a venda em garopaba sc,90,13,"0,06","0,56",97,Commercial
imoveis a venda em guapimirim,90,7,"0,03","0,44",79,Commercial
imoveis a venda em guaratuba,90,11,"0,04","0,67",89,Commercial
imoveis a venda em guaratuba pr,90,11,"0,04","0,58",99,Commercial
imoveis a venda em ilhabela,90,19,"0,05","0,64",557000,Commercial
imoveis a venda em imbituba sc,90,21,"0,04","0,59",89,Transactional
imoveis a venda em indaiatuba sp,90,17,"0,1","0,7",8550000,Commercial
imoveis a venda em ipatinga mg,90,17,"0,04","0,44",69,Commercial
imoveis a venda em itapevi,90,16,"0,07","0,25",993000,Commercial
imoveis a venda em jundiai,90,17,"0,12","0,69",8450000,Commercial
imoveis a venda em lajeado rs,90,16,"0,07","0,67",633000,Transactional
imoveis a venda em lauro de freitas,90,19,"0,09","0,61",1050000,Commercial
imoveis a venda em matinhos pr,90,14,"0,05","0,67",203000,Commercial
imoveis a venda em montes claros,90,17,"0,04","0,39",1670000,Commercial
imoveis a venda em natal,90,20,"0,07","0,32",12200000,Commercial
imoveis a venda em navegantes sc,90,13,"0,09","0,62",270000,Commercial
imoveis a venda em niteroi,90,31,"0,12","0,69",2950000,Commercial
imoveis a venda em paraty,90,7,"0,03","0,56",535000,Commercial
imoveis a venda em penha sc,90,16,"0,08","0,6",867000,Commercial
imoveis a venda em peruibe,90,15,"0,04","0,68",93,Commercial
imoveis a venda em pontal do parana,90,10,"0,05","0,62",232000,Commercial
imoveis a venda em recife,90,17,"0,07","0,6",14800000,Commercial
imoveis a venda em rio grande rs,90,16,"0,05","0,46",97300000,Commercial
imoveis a venda em santos sp,90,24,"0,07","0,72",11900000,Commercial
imoveis a venda em sao jose dos pinhais,90,16,"0,08","0,66",521000,Commercial
imoveis a venda em saquarema,90,16,"0,02","0,52",84,Commercial
imoveis a venda em sorocaba,90,14,"0,11","0,67",6700000,Commercial
imoveis a venda em sp,90,46,"0,25","0,57",25800000,Commercial
imoveis a venda em vitoria da conquista,90,16,"0,09","0,64",530000,Commercial
imoveis a venda ilha do governador,90,20,"0,06","0,44",79,Commercial
imoveis a venda indaiatuba,90,22,"0,15","0,67",1520000,Commercial
imoveis a venda itajai,90,21,"0,12","0,68",911000,Commercial
imoveis a venda itaperuna,90,7,0,"0,22",86,Commercial
imoveis a venda macae,90,17,"0,11","0,55",3490000,Commercial
imoveis a venda mogi das cruzes,90,7,"0,14","0,65",893000,Commercial
imoveis a venda na mooca,90,14,"0,3","0,77",1360000,Commercial
imoveis a venda na praia grande,90,14,"0,07","0,65",19300000,Commercial
imoveis a venda na tijuca rj,90,14,"0,08","0,59",3350000,Commercial
imoveis a venda pela caixa,90,48,"0,21","0,07",12100000,Transactional
imoveis a venda recife,90,22,"0,07","0,58",9180000,Commercial
imoveis a venda sorocaba,90,15,"0,15","0,69",6940000,Commercial
imoveis a venda sp,90,39,"0,26","0,64",29100000,Commercial
imoveis a venda ubatuba,90,15,"0,08","0,54",1770000,Commercial
imoveis a venda uberlandia,90,20,"0,12","0,7",2830000,Commercial
imoveis a venda zona leste sp,90,19,"0,2","0,73",3830000,Commercial
imoveis a venda zona sul sp,90,17,"0,29","0,69",20900000,Commercial
imoveis portugal venda,90,45,"0,16","0,63",17100000,Commercial
imovel a venda em salvador,90,21,"0,1","0,6",9330000,Commercial
imóveis a venda em atibaia,90,7,"0,11","0,69",2180000,Commercial
imóveis a venda em caldas novas,90,11,"0,06","0,31",3630000,Commercial
imóveis a venda em campinas,90,25,"0,15","0,69",18300000,Commercial
imóveis a venda em campo grande rj,90,16,"0,22","0,59",37300000,Commercial
imóveis a venda em canela rs,90,11,"0,09","0,63",764000,Commercial
imóveis a venda em guaratuba pr,90,9,"0,04","0,58",70,Commercial
imóveis a venda em ilhabela,90,14,"0,05","0,64",92,Commercial
imóveis a venda em joão monlevade,90,0,0,0,65,Commercial
imóveis a venda em juiz de fora,90,19,"0,13","0,66",96,Commercial
imóveis a venda em jundiai,90,17,"0,12","0,69",11400000,Commercial
imóveis a venda em lagoa santa,90,11,"0,08","0,67",18200000,Commercial
imóveis a venda em mauá sp,90,13,"0,1","0,55",4800000,Commercial
imóveis a venda em natal rn,90,19,"0,07","0,61",11100000,Commercial
imóveis a venda ilha do governador,90,21,"0,06","0,44",79,Commercial
imóveis a venda ubatuba,90,20,"0,08","0,54",2340000,Commercial
imóveis a venda zona leste,90,17,"0,24","0,66",8490000,Commercial
imóveis em joão pessoa para vender,90,14,"0,07","0,64",10800000,Commercial
imóveis florianópolis venda,90,38,"0,12","0,6",8190000,Commercial
imóveis para venda em curitiba,90,32,"0,09","0,62",28500000,Commercial
imóveis para vender,90,67,"0,17","0,5",39800000,Commercial
imóveis venda curitiba,90,34,"0,07","0,62",12000000,Commercial
imóveis à venda em aracaju,90,9,"0,1","0,62",89,Transactional
imóvel a venda curitiba,90,28,"0,08","0,66",15200000,Commercial
ingressos vendido,90,27,"3,59","0,02",16300000,Commercial
ingressos à venda,90,70,0,"0,01",23800000,Transactional
instagram a venda,90,29,"0,11","0,64",334000000,Transactional
instagram br vendas,90,33,0,0,83000000,"Navigational, Transactional"
instituto gourmet venda nova,90,36,"0,21","0,15",74,"Informational, Transactional"
instituto gourmet venda nova - escola de culinária e gastronomia,90,29,"0,12","0,18",48,"Informational, Transactional"
instrumento particular de compra e venda de imóvel,90,8,"0,05","0,26",4240000,Transactional
intenção de compra e venda,90,21,0,0,14100000,Transactional
intenção de venda detran pi,90,25,0,0,60,"Navigational, Transactional"
intenção de venda online,90,23,"0,31","0,13",92,Commercial
ipanema a venda,90,21,"0,03","0,13",9870000,Commercial
iphone 11 pra vender,90,32,"0,04","0,76",76,Transactional
iphone 11 à venda,90,27,"0,06",1,66,Transactional
iphone 12 a venda,90,27,"0,07",1,73,Commercial
iphone 14 a venda,90,38,"0,17","0,86",23900000,Commercial
iphone 14 pro venda,90,36,"0,26",1,81,"Informational, Transactional"
iphone usado para vender,90,39,"0,06",1,87,Commercial
itens mais vendidos,90,39,"0,03","0,4",32800000,Commercial
itens para vender,90,37,"0,18","0,86",44800000,"Informational, Commercial"
iveco 440 a venda,90,11,"0,02","0,22",63,Commercial
iveco bau a venda,90,16,"0,06","0,34",46,Commercial
iveco daily a venda em curitiba,90,16,"0,04","0,45",59,Commercial
iveco tector 11-190 à venda,90,17,"0,08","0,3",71,Transactional
iveco à venda,90,10,"0,05","0,32",90,Transactional
ix35 a venda em sc,90,14,"0,02","0,36",51,Commercial
jack russell terrier venda,90,3,"0,05","0,42",78,"Informational, Transactional"
jardim das perdizes venda,90,15,"0,23","0,66",85,Commercial
jatos executivos à venda,90,4,"0,06","0,3",100,Transactional
jeep a venda em sp,90,17,"4,06","0,33",82,Commercial
jeep a venda no rs,90,16,"4,33","0,18",82,Commercial
jeep antigo a venda em sp,90,14,"0,07","0,38",69,Commercial
jeep compass a venda em bh,90,16,"0,08","0,31",79,Commercial
jeep compass a venda em sc,90,17,"0,12","0,46",64,Commercial
jeep compass à venda,90,15,"0,13","0,47",75,Transactional
jeep jimny a venda,90,15,"0,51","0,27",82,Commercial
jeep jpx a venda,90,16,"0,08","0,17",89,Commercial
jeep para venda,90,22,"1,51","0,36",36500000,Commercial
jeep renegade a venda em curitiba,90,14,"0,06","0,48",79,Commercial
jeep renegade a venda em sc,90,17,"0,1","0,37",62,Commercial
jeep troller à venda,90,12,"1,18","0,22",83,Transactional
jeep willys a venda barato sp,90,15,"0,07","0,29",62,Commercial
jeep willys a venda em sp,90,16,"0,05","0,43",50,Commercial
jeep willys a venda sc,90,18,"0,02","0,09",56,Transactional
jeep willys à venda no rs,90,18,0,0,69,Transactional
jequié vendas carros usados,90,25,"0,05","0,33",47,Commercial
jet a venda,90,4,"0,04","0,3",14700000,Commercial
jet ski a venda no rs olx,90,27,0,"0,01",39,"Navigational, Transactional"
jet ski para vender,90,8,"0,04","0,3",73,Commercial
jetta a venda em goiania,90,16,"0,03","0,17",62,"Informational, Commercial"
jetta gli 2023 à venda,90,26,"0,07","0,31",85,Transactional
jetta tsi a venda,90,16,"0,04","0,24",66,Commercial
jetta variant a venda,90,18,"0,03","0,17",65,Commercial
jiboia a venda,90,11,0,"0,1",97,Commercial
jipe willys a venda,90,15,"0,02","0,2",80,Commercial
jogo de panelas mais vendidas,90,19,"0,06",1,100,Commercial
jogos mais vendidos de ps2,90,22,0,"0,15",402000,Commercial
jogos mais vendidos ps2,90,23,0,"0,14",577000,Commercial
julieta boiadeira a venda,90,4,"0,04","0,16",46,"Informational, Commercial"
jumenta a venda olx,90,28,0,"0,03",48,"Navigational, Transactional"
jumenta pêga a venda,90,23,"0,01","0,16",64,Commercial
jundiai casas a venda,90,17,"0,14","0,53",7760000,Commercial
karaoke a venda,90,25,"0,05",1,63,Commercial
karmann ghia a venda no rs,90,14,0,"0,08",68,Commercial
karmann ghia a venda olx,90,31,0,"0,05",46,"Navigational, Transactional"
kart a venda olx,90,31,"0,02","0,08",38,Transactional
kawasaki h2 a venda,90,12,0,"0,09",88,"Informational, Transactional"
kia bongo a venda em bh,90,14,"0,05","0,39",71,Transactional
kia optima a venda,90,16,"0,02","0,18",53,Commercial
kia soul a venda,90,16,"0,07","0,36",61,"Informational, Commercial"
kia sportage a venda em bh,90,16,"0,06","0,44",54,Commercial
kicks a venda,90,12,"0,08","0,49",97,Commercial
kit de certidões para venda de imóvel rj,90,5,"0,12","0,31",60,Transactional
kit de pulseira para vender,90,24,"0,01","0,98",391000,Transactional
kitnet a venda campinas,90,17,"0,07","0,6",85,Commercial
kitnet a venda em curitiba,90,16,"0,05","0,59",80,Commercial
kitnet a venda rio de janeiro,90,17,"0,06","0,54",89,Commercial
kitnet a venda são paulo,90,20,"0,16","0,66",76,Commercial
kitnet copacabana venda,90,9,"0,07","0,62",84,Commercial
kitnet copacabana venda olx,90,28,"0,07","0,63",42,"Navigational, Transactional"
kitnet para venda praia grande,90,10,"0,08","0,59",9550000,Commercial
kitnet para vender em realengo olx,90,28,"0,1","0,14",33,"Navigational, Transactional"
kitnet para vender em santos,90,14,"0,06","0,58",385000,Commercial
kitnet para vender em sepetiba,90,14,"0,05","0,22",45,Commercial
kombi 1.4 a venda,90,16,"0,02","0,37",59,Commercial
kombi 2010 a venda,90,21,"0,02","0,29",75,Commercial
kombi 2014 a venda,90,16,"0,02","0,42",73,Commercial
kombi a venda em campinas,90,14,"0,03","0,35",60,Commercial
kombi a venda olx sp,90,28,"0,02","0,12",36,"Navigational, Transactional"
kombi a venda ribeirão preto,90,20,"0,07","0,37",57,Commercial
kombi adaptada para lanches a venda olx,90,28,"0,03","0,04",55,Transactional
kombi carroceria de madeira a venda em sp olx,90,27,0,"0,04",45,"Informational, Transactional"
kombi de carroceria à venda,90,16,"0,02","0,18",57,"Informational, Transactional"
kombi de chopp a venda,90,26,"0,02","0,12",56,"Informational, Transactional"
kombi food truck a venda sp,90,18,"0,01","0,16",54,"Informational, Transactional"
kombi home a venda em curitiba,90,16,"0,01","0,34",60,"Informational, Commercial"
kombi motor home a venda,90,27,"0,04","0,05",84,"Informational, Transactional"
kombi para venda,90,28,"0,02","0,27",91,Commercial
kombi pick up a venda,90,18,"0,02","0,29",68,Commercial
kombi à venda em guarulhos olx,90,31,0,0,33,Transactional
korz promocao de vendas eireli v2,90,6,0,0,26,Commercial
kwid a venda em curitiba,90,17,7,"0,54",67,Commercial
kwid a venda no rs,90,18,"8,87","0,51",59,Commercial
l200 outdoor a venda,90,15,"0,07","0,31",58,Commercial
l200 savana a venda,90,16,"0,14","0,25",67,Commercial
la rive masculino mais vendido,90,17,"0,08",1,55,"Informational, Transactional"
laboratório em venda nova,90,10,"0,13","0,3",13400000,Commercial
laboratório hermes pardini venda nova fotos,90,26,0,"0,01",64,"Navigational, Transactional"
laboratório lapecco venda nova,90,13,"0,18","0,02",86,"Navigational, Transactional"
laboratório óptico completo a venda,90,24,"0,1","0,34",80,"Informational, Transactional"
lada niva venda,90,11,"0,02","0,14",67,Commercial
lagarto a venda,90,21,0,"0,13",7930000,Commercial
lamborghini a venda no brasil,90,18,"0,07","0,28",81,Commercial
lambretas a venda,90,24,"0,02","0,36",22000,Commercial
lancer a venda em sc,90,16,"0,03","0,38",46,Commercial
lancer a venda no rs,90,17,"0,02","0,23",56,Commercial
lancer evo 7 a venda,90,19,"0,08","0,08",65,Commercial
lancer evo a venda,90,27,"0,03","0,06",69,"Informational, Transactional"
lancha a venda cabo frio,90,28,"0,05","0,23",53,"Navigational, Commercial"
lancha expresso a venda,90,24,0,"0,06",41,"Informational, Transactional"
lanchas a venda curitiba,90,8,"0,03","0,5",83,Commercial
lanchas a venda florianopolis,90,1,"0,07","0,45",70,Commercial
lanchas a venda no parana,90,9,"0,04","0,4",77,Commercial
lanchas de luxo a venda,90,12,"0,04","0,4",443000,Transactional
lanchas e barcos usados a venda,90,7,"0,03","0,4",96,Commercial
lanchas focker a venda,90,8,"0,06","0,36",46,Commercial
lanches para vender delivery,90,20,"0,36","0,25",246000,"Informational, Commercial"
lanches para vender na igreja,90,9,0,0,145000,"Informational, Commercial"
land rover defender 90 a venda,90,10,"0,09","0,23",66,Commercial
landau a venda rs,90,17,"0,02","0,11",50,Commercial
lander 250 a venda,90,21,"0,04","0,2",41,Commercial
lava jato a venda,90,21,"0,03",1,4990000,"Informational, Transactional"
lavadora de alta pressão karcher usada a venda,90,14,"0,02",1,43,"Informational, Transactional"
leitao a venda,90,23,"0,01","0,1",92,Transactional
lem compra e venda,90,11,"0,41","0,01",78500000,Transactional
lem compras e vendas carros,90,24,"0,1","0,11",259000,Transactional
lepidium meyenii vende em farmácia,90,11,"0,05",1,72800,"Informational, Transactional"
licor mais vendido no brasil,90,20,"0,06","0,99",712000,Commercial
limousine a venda olx,90,31,"0,05","0,12",28,"Navigational, Transactional"
lingerie venda,90,48,"0,15",1,14900000,Commercial
linha chilena para vende,90,28,"0,09","0,9",21900000,Transactional
linha chilena para vender,90,24,"0,09","0,9",2120000,Transactional
link de grupos de whatsapp de vendas,90,21,"0,52","0,13",94,Commercial
liso já vende em farmácia,90,29,"0,08",1,67,Commercial
livro alcançando excelência em vendas,90,24,"0,06",1,141000,"Informational, Transactional"
livro bíblia de vendas,90,24,"0,06","0,97",2270000,"Informational, Transactional"
livro venda a mente nao ao cliente,90,20,"0,03",1,53300000,"Informational, Transactional"
livros biografias mais vendidos,90,14,"0,01",1,6920000,Commercial
livros de biografia mais vendidos,90,13,"0,01",1,1860000,Commercial
livros de biografias mais vendidos,90,14,"0,01",1,97,Commercial
livros de finanças mais vendidos,90,23,"0,02",1,2330000,Commercial
livros evangelicos para jovens mais vendidos,90,7,"0,03",1,82,"Informational, Commercial"
livros feministas mais vendidos,90,25,"0,05",1,85400,"Informational, Commercial"
livros infantil mais vendidos,90,18,"0,12",1,12500000,"Informational, Commercial"
livros mais vendidos da amazon,90,33,"0,04",1,20900000,"Informational, Transactional"
livros mais vendidos infantil,90,21,"0,12","0,98",14900000,"Informational, Commercial"
livros mais vendidos na amazon,90,37,"0,1",1,88,"Informational, Transactional"
livros sobre batalha espiritual mais vendidos,90,16,"0,04",1,74,Commercial
livros usados a venda,90,31,"0,03",1,18200000,Commercial
loft rio de janeiro venda,90,21,"0,52","0,56",64,Commercial
logan a venda,90,27,"0,1","0,54",19200000,Commercial
logus a venda olx,90,28,0,"0,03",39,"Navigational, Transactional"
loja de bebe em venda nova,90,11,"0,12","0,52",10100000,Commercial
loja de venda,90,32,"0,48","0,18",232000000,Commercial
loja de venda de carro,90,73,"0,39","0,35",40100000,Commercial
loja que vende animais,90,34,"0,16","0,24",9290000,"Informational, Commercial"
loja que vende cabelo,90,21,"0,12","0,92",2270000,Commercial
loja que vende carta pokémon,90,29,0,1,74,"Informational, Commercial"
loja que vende celular usado,90,27,"0,15","0,96",12700000,Commercial
loja que vende linha de crochê,90,20,"0,09","0,94",7140000,Commercial
loja que vende mdf,90,20,"0,1",1,758000,Commercial
loja que vende peixe,90,18,"0,13","0,09",795000,Commercial
loja que vende roupa de bebe,90,45,"0,12",1,66200000,Commercial
loja que vende roupas,90,76,"0,23","0,98",55200000,"Informational, Commercial"
lojas a venda em bh,90,16,"0,05","0,56",71000000,"Informational, Commercial"
lojas a venda em curitiba,90,16,"0,07","0,63",20600000,Commercial
lojas americanas venda nova,90,19,"0,34","0,11",13800000,Commercial
lojas em feira de santana que vendem em atacado,90,24,"0,08","0,3",1740000,Commercial
lojas em venda nova,90,23,"0,12","0,03",61800000,Commercial
lojas que vende botas,90,29,"0,09","0,99",11100000,Commercial
lojas que vende roupa,90,77,"0,23","0,98",89400000,"Informational, Commercial"
lojas que vendem camisa do brasil,90,35,0,"0,14",256000,"Informational, Commercial"
lojas que vendem vans,90,21,"0,83",1,111000,Commercial
lojas à venda,90,11,"0,12","0,23",137000000,Transactional
lote a venda em igarape,90,14,"0,06","0,5",66,Commercial
lote a venda em lagoa santa,90,12,"0,08","0,63",5410000,Commercial
lote vendas,90,12,"0,19","0,15",18100000,"Navigational, Transactional"
lotes a venda anapolis,90,12,"0,1","0,59",91,Commercial
lotes a venda bh,90,19,"0,15","0,5",4300000,Commercial
lotes a venda em caldas novas,90,12,"0,07","0,18",86,Commercial
lotes a venda em itabirito mg,90,22,"0,05","0,13",75,Commercial
lotes a venda em palmas,90,17,"0,08","0,42",7350000,Commercial
lotes a venda em sete lagoas,90,13,"0,09","0,58",91,Commercial
lotes a venda interior de sp,90,17,"0,25","0,71",17300000,Commercial
lotes a venda sete lagoas,90,13,"0,1","0,65",390000,Commercial
lotes à venda em bh até 60 mil,90,16,"0,15","0,5",60,Transactional
lotes à venda em bh financiados,90,4,"0,19","0,6",78,"Informational, Transactional"
lotes à venda em irati pr,90,7,0,0,65,Transactional
lotus a venda,90,17,"0,04","0,14",16000000,Commercial
lotérica a venda,90,11,"0,32","0,49",1130000,Commercial
lubrificante intimo vende em farmacia,90,21,"0,07","0,89",74,Commercial
lugar onde vende plantas,90,27,"0,14","0,37",24600000,Transactional
lugar que vende açaí aberto agora,90,20,"0,21","0,14",86,Commercial
lugar que vende bolo perto de mim,90,36,"0,2","0,15",34200000,Transactional
lugar que vende figurinha da copa perto de mim,90,26,0,0,90,Transactional
lugar que vende frango assado,90,22,"0,26","0,05",84,Commercial
lugar que vende lanche perto de mim,90,26,"0,25","0,15",5330000,Transactional
lugar que vende salgados aberto agora,90,12,"0,2","0,1",78,"Informational, Commercial"
